,Coor_X,Coor_Y,Coor_Z,Node_Nr
0,-0.11999999731779099,-5.074999809265137,0.0,100
1,-0.11999999731779099,4.454999923706055,0.0,200
2,13.800000190734863,4.454999923706055,0.0,300
3,13.800000190734863,-5.074999809265137,0.0,400
4,27.1200008392334,4.454999923706055,0.0,500
5,27.1200008392334,-5.074999809265137,0.0,600
6,-0.11999999731779099,-3.825000047683716,0.0,1201
7,-0.11999999731779099,-3.049999952316284,0.0,1202
8,-0.11999999731779099,0.0,0.0,1203
9,-0.11999999731779099,3.049999952316284,0.0,1204
10,-0.11999999731779099,3.825000047683716,0.0,1205
11,13.800000190734863,-3.825000047683716,0.0,3401
12,13.800000190734863,-3.049999952316284,0.0,3402
13,13.800000190734863,0.0,0.0,3403
14,13.800000190734863,3.049999952316284,0.0,3404
15,13.800000190734863,3.825000047683716,0.0,3405
16,27.1200008392334,-3.825000047683716,0.0,5401
17,27.1200008392334,-3.049999952316284,0.0,5402
18,27.1200008392334,0.0,0.0,5403
19,27.1200008392334,3.049999952316284,0.0,5404
20,27.1200008392334,3.825000047683716,0.0,5405
21,-0.11999999731779099,-3.1700000762939453,0.0,12021
22,0.11999999731779099,-3.1700000762939453,0.0,12022
23,-0.11999999731779099,-2.930000066757202,0.0,12023
24,0.11999999731779099,-2.930000066757202,0.0,12024
25,0.0,-3.049999952316284,-0.6000000238418579,12025
26,0.0,-3.049999952316284,-0.6000000238418579,12026
27,-0.11999999731779099,-0.11999999731779099,0.0,12031
28,0.11999999731779099,-0.11999999731779099,0.0,12032
29,-0.11999999731779099,0.11999999731779099,0.0,12033
30,0.11999999731779099,0.11999999731779099,0.0,12034
31,0.0,0.0,-0.6000000238418579,12035
32,0.0,0.0,-0.6000000238418579,12036
33,-0.11999999731779099,2.930000066757202,0.0,12041
34,0.11999999731779099,2.930000066757202,0.0,12042
35,-0.11999999731779099,3.1700000762939453,0.0,12043
36,0.11999999731779099,3.1700000762939453,0.0,12044
37,0.0,3.049999952316284,-0.6000000238418579,12045
38,0.0,3.049999952316284,-0.6000000238418579,12046
39,13.680000305175781,-3.1700000762939453,0.0,34021
40,13.920000076293945,-3.1700000762939453,0.0,34022
41,13.680000305175781,-2.930000066757202,0.0,34023
42,13.920000076293945,-2.930000066757202,0.0,34024
43,13.680000305175781,-0.11999999731779099,0.0,34031
44,13.920000076293945,-0.11999999731779099,0.0,34032
